Filename,Compound,Date_collec,Time_collec,Res,Date_run,Batch,Catch,UW,Indiv,Rank,Group,DOB,Age,Temp,Uvol,SPG1,SPG2,meanSPG,DayRain,AveRain,z.Age,z.Uvol,z.SPG,z.Temp,z.DayRain,z.AveRain,RT,Area,Ncomp
20220711_04,N087.P01.2,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.282762249,-0.160735823,-0.548970627,1.20773175,-0.376318229,-0.179528764,6.582,11250,54
20220711_04,R085.P01,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.282762249,-0.160735823,-0.548970627,1.20773175,-0.376318229,-0.179528764,12.784,33873,54
20220711_04,N103.P01,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.282762249,-0.160735823,-0.548970627,1.20773175,-0.376318229,-0.179528764,6.994,24957,54
20220711_04,M043.P01,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.282762249,-0.160735823,-0.548970627,1.20773175,-0.376318229,-0.179528764,2.607,211488,54
20220711_04,N045.P03,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.282762249,-0.160735823,-0.548970627,1.20773175,-0.376318229,-0.179528764,6.994,3481,54
20220711_04,M103.P03.2,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.282762249,-0.160735823,-0.548970627,1.20773175,-0.376318229,-0.179528764,4.551,7935,54
20220711_04,N094.P04,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.282762249,-0.160735823,-0.548970627,1.20773175,-0.376318229,-0.179528764,9.336,25502,54
20220711_04,Q070.P05,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.282762249,-0.160735823,-0.548970627,1.20773175,-0.376318229,-0.179528764,11.409,3576,54
20220711_04,M060.P01,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.282762249,-0.160735823,-0.548970627,1.20773175,-0.376318229,-0.179528764,3.561,159268,54
20220711_04,Q131.P01.2,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.282762249,-0.160735823,-0.548970627,1.20773175,-0.376318229,-0.179528764,11.055,6645,54
