Beh_focalname,Beh_type,Behav,Group,Rank,Indiv,DOB,Date,Beh_filename,WetDry,Date_time_begin,Date_time_end,Duration,Dur_min_corrected,Year,Time,DayRain,AveRain,MaxTemp,MinTemp,MeanTemp,z.AveRain,z.MeanTemp,z.DayRain,Age,z.Age
2022-01-24_LV_MAG_Clean.xlsx.1,NA,NA,LV,Alpha,BY,2003-01-01,2022-01-24,2022-01-24_LV_MAG_Clean.xlsx,DRY,2022-01-24T09:37:17Z,2022-01-24T09:53:39Z,0:16:22,16.37,2022,9:37:17,0,0.03,30.4,23.3,26.85,-0.818387985,-0.21958825,-0.366266492,19.1,1.650139823
2022-01-24_LV_SRM_Clean.xlsx.1,B,UW,LV,Alpha,BY,2003-01-01,2022-01-24,2022-01-24_LV_SRM_Clean.xlsx,DRY,2022-01-24T07:52:50Z,2022-01-24T08:09:42Z,0:16:52,16.87,2022,7:52:50,0,0.03,30.4,23.3,26.85,-0.818387985,-0.21958825,-0.366266492,19.1,1.650139823
2022-01-24_LV_SRM_Clean.xlsx.2,NA,NA,LV,Alpha,BY,2003-01-01,2022-01-24,2022-01-24_LV_SRM_Clean.xlsx,DRY,2022-01-24T08:21:46Z,2022-01-24T08:36:51Z,0:15:05,15.08,2022,8:21:46,0,0.03,30.4,23.3,26.85,-0.818387985,-0.21958825,-0.366266492,19.1,1.650139823
2022-01-24_LV_SRM_Clean.xlsx.3,B,UW,LV,Alpha,BY,2003-01-01,2022-01-24,2022-01-24_LV_SRM_Clean.xlsx,DRY,2022-01-24T08:46:20Z,2022-01-24T09:01:38Z,0:15:18,15.3,2022,8:46:20,0,0.03,30.4,23.3,26.85,-0.818387985,-0.21958825,-0.366266492,19.1,1.650139823
2022-01-24_LV_SRM_Clean.xlsx.3,B,UW,LV,Alpha,BY,2003-01-01,2022-01-24,2022-01-24_LV_SRM_Clean.xlsx,DRY,2022-01-24T08:46:20Z,2022-01-24T09:01:38Z,0:15:18,15.3,2022,8:46:20,0,0.03,30.4,23.3,26.85,-0.818387985,-0.21958825,-0.366266492,19.1,1.650139823
2022-01-24_LV_SRM_Clean.xlsx.4,NA,NA,LV,Alpha,BY,2003-01-01,2022-01-24,2022-01-24_LV_SRM_Clean.xlsx,DRY,2022-01-24T09:11:12Z,2022-01-24T09:27:18Z,0:16:06,16.1,2022,9:11:12,0,0.03,30.4,23.3,26.85,-0.818387985,-0.21958825,-0.366266492,19.1,1.650139823
2022-01-24_LV_SRM_Clean.xlsx.5,B,UW,LV,Alpha,BY,2003-01-01,2022-01-24,2022-01-24_LV_SRM_Clean.xlsx,DRY,2022-01-24T10:03:53Z,2022-01-24T10:20:06Z,0:16:13,16.22,2022,10:03:53,0,0.03,30.4,23.3,26.85,-0.818387985,-0.21958825,-0.366266492,19.1,1.650139823
2022-01-24_LV_SRM_Clean.xlsx.6,B,UW,LV,Alpha,BY,2003-01-01,2022-01-24,2022-01-24_LV_SRM_Clean.xlsx,DRY,2022-01-24T10:30:18Z,2022-01-24T10:45:07Z,0:14:49,14.82,2022,10:30:18,0,0.03,30.4,23.3,26.85,-0.818387985,-0.21958825,-0.366266492,19.1,1.650139823
2022-01-25_LV_MAG_Clean.xlsx.1,B,UW,LV,Subord,PW,2006-01-01,2022-01-25,2022-01-25_LV_MAG_Clean.xlsx,DRY,2022-01-25T16:29:49Z,2022-01-25T16:47:56Z,0:18:07,18.12,2022,16:29:49,0,0.03,31.7,23.4,27.55,-0.818387985,0.163522596,-0.366266492,16.1,0.850438665
2022-01-25_LV_MAG_Clean.xlsx.1,B,UW,LV,Subord,PW,2006-01-01,2022-01-25,2022-01-25_LV_MAG_Clean.xlsx,DRY,2022-01-25T16:29:49Z,2022-01-25T16:47:56Z,0:18:07,18.12,2022,16:29:49,0,0.03,31.7,23.4,27.55,-0.818387985,0.163522596,-0.366266492,16.1,0.850438665
