Filename,Date_collec,Time_collec,Res,Date_run,Batch,Catch,UW,Indiv,Rank,Group,DOB,Age,Temp,Uvol,SPG1,SPG2,meanSPG,DayRain,AveRain,z.Age,z.Uvol,z.SPG,z.Temp,z.DayRain,z.AveRain
20220711_04,2022-05-12,12:50,YVA,20220711,Batch00,IC,NO,FI,Subord,RM,2014-08-25,7.7,32.3,0.2,1.015,1.015,1.0145,0,2.86,-1.219672519,-0.154744111,-0.538767017,1.164331545,-0.364002393,-0.19285139
20220711_06,2022-05-18,15:35,MAG,20220711,Batch00,IC,NO,SB,Subord,LV,2014-12-02,7.5,28.2,0.3,1.021,1.021,1.0213,2.2,3.16,-1.261893609,0.098473525,-0.054980177,-0.100297437,-0.20263382,-0.129576736
20220711_07,2022-05-13,12:00,SRM,20220711,Batch00,IC,YES,LO,Subord,RM,2011-01-01,11.4,34.2,0.2,1.028,1.028,1.0284,0,2.86,-0.438582347,-0.154744111,0.4501502,1.750379122,-0.364002393,-0.19285139
20220711_08,2022-04-01,6:49,GMC,20220711,Batch00,DC,NO,LE,Subord,RM,1994-05-01,27.9,36.3,0.25,1.038,1.038,1.0383,0,0,3.044657609,-0.028135293,1.154486922,2.398115917,-0.364002393,-0.796069764
20220711_09,2022-05-13,11:23,MAG,20220711,Batch00,IC,NO,FG,Subord,RM,2009-02-18,13.2,33.4,0.2,1.065,1.065,1.065,0,2.86,-0.058592534,-0.154744111,3.054061719,1.503622247,-0.364002393,-0.19285139
20220711_10,2022-05-26,10:26,SRM,20220711,Batch00,DC,NO,CZ,Subord,RM,2006-01-01,16.4,28.4,0.2,1.023,1.023,1.0234,0.8,7.63,0.616944912,-0.154744111,0.094424582,-0.038608218,-0.305322912,0.813215617
20220711_11,2022-03-21,12:02,GMC,20220711,Batch00,IC,YES,PW,Subord,LV,2006-01-01,16.2,33.6,0.25,1.007,1.007,1.0073,0,0,0.574723822,-0.028135293,-1.051011906,1.565311466,-0.364002393,-0.796069764
20220712_05,2022-03-04,7:52,SRM,20220712,Batch01,DC,YES,ES,Alpha,BC,2013-03-15,9,27.9,0.25,1.034,1.034,1.0341,0,0,-0.945235431,-0.028135293,0.855677403,-0.192831265,-0.364002393,-0.796069764
20220712_06,2022-02-24,8:45,NAC,20220712,Batch01,IC,YES,EC,Subord,GN,2009-01-01,13.1,27.9,0.25,1.025,1.025,1.0245,0,0,-0.079703079,-0.028135293,0.172684218,-0.192831265,-0.364002393,-0.796069764
20220712_09,2022-01-15,7:56,KMJ,20220712,Batch01,DC,YES,CZ,Subord,RM,2006-01-01,16,26.7,NA,1.032,1.032,1.0317,0,0.03,0.532502732,NA,0.684929107,-0.562966577,-0.364002393,-0.789742298
20220712_11,2022-04-11,7:17,ACP,20220712,Batch01,DC,YES,LO,Subord,RM,2011-01-01,11.3,27.4,0.2,1.023,1.023,1.0229,0,0,-0.459692892,-0.154744111,0.058852021,-0.347054312,-0.364002393,-0.796069764
20220712_12,2022-02-10,6:29,SRM,20220712,Batch01,DC,YES,BY,Alpha,LV,2003-01-01,19.1,25.3,0.25,1.006,1.006,1.006,0,0.03,1.186929632,-0.028135293,-1.143500566,-0.994791107,-0.364002393,-0.789742298
20220712_13,2022-03-21,7:55,ACP,20220712,Batch01,DC,NO,HG,Subord,LV,2007-04-12,14.9,28.9,0.4,1.027,1.027,1.0265,0,0,0.300286735,0.351691161,0.314974465,0.115614828,-0.364002393,-0.796069764
20220712_15,2022-04-29,10:29,GMC,20220712,Batch01,IC,NO,KO,Alpha,RM,2009-01-01,13.3,33.6,0.1,1.01,1.01,1.0102,0,0.62,-0.037481988,-0.407961746,-0.844691048,1.565311466,-0.364002393,-0.665302144
20220712_18,2022-04-29,8:07,GMC,20220712,Batch01,DC,NO,FG,Subord,RM,2009-02-18,13.2,30.1,0.4,1.045,1.045,1.0448,0,0.62,-0.058592534,0.351691161,1.616930225,0.48575014,-0.364002393,-0.665302144
20220712_21,2022-03-14,11:15,GMC,20220712,Batch01,DC,YES,FI,Subord,RM,2014-08-25,7.6,33,0.25,1.033,1.033,1.0326,0,0,-1.240783064,-0.028135293,0.748959718,1.38024381,-0.364002393,-0.796069764
20220712_23,2022-05-04,11:10,YVA,20220712,Batch01,IC,NO,BY,Alpha,LV,2003-01-01,19.3,28.6,0.4,1.017,1.017,1.017,48.3,0.67,1.229150723,0.351691161,-0.360904208,0.023081,3.178771273,-0.654756369
20220712_24,2022-02-03,9:38,SRM,20220712,Batch01,DC,NO,LE,Subord,RM,1994-05-01,27.8,28.5,0.25,1.022,1.022,1.0216,0,0.03,3.023547063,-0.028135293,-0.03363664,-0.007763609,-0.364002393,-0.789742298
20220712_26,2022-01-28,6:50,SRM,20220712,Batch01,DC,NO,PW,Subord,LV,2006-01-01,16.1,25.6,0.25,1.02,1.02,1.0199,0,0.03,0.553613277,-0.028135293,-0.15458335,-0.902257279,-0.364002393,-0.789742298
