Date,Focal_uniqueID,Filename,Male,DOB,Rank,Group,Observer,Focal_time_begin,Focal_time_end,Focal_duration,Focal_behav_time_begin,UW_behav,Seasonality,Age
2022-02-01,2022-02-01_GN_MAG-1,2022-02-01_GN_MAG_Clean.xlsx,DD,2008-01-01,alpha,GN,MAG,13:13:36,13:29:55,0:16:19,13:25:48,UW,0.03,14.1
2022-02-01,2022-02-01_GN_MAG-2,2022-02-01_GN_MAG_Clean.xlsx,EC,2009-01-01,sub,GN,MAG,13:38:20,13:57:54,0:19:34,13:54:49,NA,0.03,13.1
2022-02-01,2022-02-01_GN_MAG-3,2022-02-01_GN_MAG_Clean.xlsx,TD,2012-10-23,sub,GN,MAG,15:16:37,15:33:07,0:16:30,NA,NA,0.03,9.3
2022-02-01,2022-02-01_GN_MAG-4,2022-02-01_GN_MAG_Clean.xlsx,DD,2008-01-01,alpha,GN,MAG,15:44:36,16:01:48,0:17:12,15:56:06,NA,0.03,14.1
2022-02-01,2022-02-01_GN_MAG-4,2022-02-01_GN_MAG_Clean.xlsx,DD,2008-01-01,alpha,GN,MAG,15:44:36,16:01:48,0:17:12,15:53:28,NA,0.03,14.1
2022-02-01,2022-02-01_GN_MAG-4,2022-02-01_GN_MAG_Clean.xlsx,DD,2008-01-01,alpha,GN,MAG,15:44:36,16:01:48,0:17:12,15:47:31,NA,0.03,14.1
2022-02-01,2022-02-01_GN_MAG-4,2022-02-01_GN_MAG_Clean.xlsx,DD,2008-01-01,alpha,GN,MAG,15:44:36,16:01:48,0:17:12,15:58:50,UW,0.03,14.1
2022-02-01,2022-02-01_GN_MAG-5,2022-02-01_GN_MAG_Clean.xlsx,EC,2009-01-01,sub,GN,MAG,16:13:30,16:30:53,0:17:23,16:20:25,NA,0.03,13.1
2022-02-01,2022-02-01_GN_MAG-6,2022-02-01_GN_MAG_Clean.xlsx,TD,2012-10-23,sub,GN,MAG,16:52:54,17:10:26,0:17:32,16:57:14,NA,0.03,9.3
2022-02-01,2022-02-01_GN_MAG-6,2022-02-01_GN_MAG_Clean.xlsx,TD,2012-10-23,sub,GN,MAG,16:52:54,17:10:26,0:17:32,17:07:19,NA,0.03,9.3
2022-02-01,2022-02-01_GN_NAC-1,2022-02-01_GN_NAC_Clean.xlsx,DD,2008-01-01,alpha,GN,NAC,7:42:59,7:59:10,0:16:11,7:57:33,UW,0.03,14.1
2022-02-01,2022-02-01_GN_NAC-1,2022-02-01_GN_NAC_Clean.xlsx,DD,2008-01-01,alpha,GN,NAC,7:42:59,7:59:10,0:16:11,7:52:37,UW,0.03,14.1
2022-02-01,2022-02-01_GN_NAC-2,2022-02-01_GN_NAC_Clean.xlsx,TD,2012-10-23,sub,GN,NAC,11:14:10,11:31:01,0:16:51,11:29:56,NA,0.03,9.3
2022-02-02,2022-02-02_GN_SRM-2,2022-02-02_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,8:31:52,8:39:31,0:07:39,NA,NA,0.03,14.1
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:11:25,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:06:24,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:08:26,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:08:53,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:05:55,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:05:30,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:09:30,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:11:13,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:08:38,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,6:56:53,7:13:00,0:16:07,7:07:28,NA,0.03,7.8
