Date,Focal_uniqueID,Filename,Male,DOB,Rank,Group,Observer,Focal_duration,UW_behav,Seasonality,Age
2022-02-01,2022-02-01_GN_MAG-1,2022-02-01_GN_MAG_Clean.xlsx,DD,2008-01-01,alpha,GN,MAG,0:16:19,UW,0.03,14.1
2022-02-01,2022-02-01_GN_MAG-2,2022-02-01_GN_MAG_Clean.xlsx,EC,2009-01-01,sub,GN,MAG,0:19:34,NA,0.03,13.1
2022-02-01,2022-02-01_GN_MAG-3,2022-02-01_GN_MAG_Clean.xlsx,TD,2012-10-23,sub,GN,MAG,0:16:30,NA,0.03,9.3
2022-02-01,2022-02-01_GN_MAG-4,2022-02-01_GN_MAG_Clean.xlsx,DD,2008-01-01,alpha,GN,MAG,0:17:12,NA,0.03,14.1
2022-02-01,2022-02-01_GN_MAG-4,2022-02-01_GN_MAG_Clean.xlsx,DD,2008-01-01,alpha,GN,MAG,0:17:12,UW,0.03,14.1
2022-02-01,2022-02-01_GN_MAG-5,2022-02-01_GN_MAG_Clean.xlsx,EC,2009-01-01,sub,GN,MAG,0:17:23,NA,0.03,13.1
2022-02-01,2022-02-01_GN_MAG-6,2022-02-01_GN_MAG_Clean.xlsx,TD,2012-10-23,sub,GN,MAG,0:17:32,NA,0.03,9.3
2022-02-01,2022-02-01_GN_NAC-1,2022-02-01_GN_NAC_Clean.xlsx,DD,2008-01-01,alpha,GN,NAC,0:16:11,UW,0.03,14.1
2022-02-01,2022-02-01_GN_NAC-1,2022-02-01_GN_NAC_Clean.xlsx,DD,2008-01-01,alpha,GN,NAC,0:16:11,UW,0.03,14.1
2022-02-01,2022-02-01_GN_NAC-2,2022-02-01_GN_NAC_Clean.xlsx,TD,2012-10-23,sub,GN,NAC,0:16:51,NA,0.03,9.3
2022-02-02,2022-02-02_GN_SRM-2,2022-02-02_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:07:39,NA,0.03,14.1
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,0:16:07,NA,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,0:16:07,UW,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-1,2022-02-03_RM_GMC_Clean.xlsx,HE,2014-04-28,sub,RM,GMC,0:16:07,UW,0.03,7.8
2022-02-03,2022-02-03_RM_GMC-2,2022-02-03_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,0:15:32,NA,0.03,13.1
2022-02-03,2022-02-03_RM_GMC-2,2022-02-03_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,0:15:32,UW,0.03,13.1
2022-02-03,2022-02-03_RM_GMC-3,2022-02-03_RM_GMC_Clean.xlsx,LE,1994-05-01,sub,RM,GMC,0:14:44,NA,0.03,27.8
2022-02-03,2022-02-03_RM_GMC-3,2022-02-03_RM_GMC_Clean.xlsx,LE,1994-05-01,sub,RM,GMC,0:14:44,UW,0.03,27.8
2022-02-03,2022-02-03_RM_GMC-4,2022-02-03_RM_GMC_Clean.xlsx,LO,2011-01-01,sub,RM,GMC,0:14:37,NA,0.03,11.1
2022-02-03,2022-02-03_RM_GMC-4,2022-02-03_RM_GMC_Clean.xlsx,LO,2011-01-01,sub,RM,GMC,0:14:37,UW,0.03,11.1
2022-02-03,2022-02-03_RM_GMC-4,2022-02-03_RM_GMC_Clean.xlsx,LO,2011-01-01,sub,RM,GMC,0:14:37,UW,0.03,11.1
2022-02-03,2022-02-03_RM_GMC-5,2022-02-03_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,0:15:19,UW,0.03,7.4
2022-02-03,2022-02-03_RM_GMC-5,2022-02-03_RM_GMC_Clean.xlsx,FI,2014-08-25,sub,RM,GMC,0:15:19,UW,0.03,7.4
2022-02-03,2022-02-03_RM_GMC-6,2022-02-03_RM_GMC_Clean.xlsx,FG,2009-02-18,sub,RM,GMC,0:14:55,NA,0.03,13
2022-02-04,2022-02-04_RM_SRM-1,2022-02-04_RM_SRM_Clean.xlsx,CZ,2006-01-01,sub,RM,SRM,0:16:57,NA,0.03,16.1
2022-02-04,2022-02-04_RM_SRM-2,2022-02-04_RM_SRM_Clean.xlsx,LE,1994-05-01,sub,RM,SRM,0:15:29,NA,0.03,27.8
2022-02-04,2022-02-04_RM_SRM-2,2022-02-04_RM_SRM_Clean.xlsx,LE,1994-05-01,sub,RM,SRM,0:15:29,UW,0.03,27.8
2022-02-04,2022-02-04_RM_SRM-3,2022-02-04_RM_SRM_Clean.xlsx,HE,2014-04-28,sub,RM,SRM,0:17:46,NA,0.03,7.8
2022-02-04,2022-02-04_RM_SRM-5,2022-02-04_RM_SRM_Clean.xlsx,FG,2009-02-18,sub,RM,SRM,0:16:52,NA,0.03,13
2022-02-04,2022-02-04_RM_SRM-5,2022-02-04_RM_SRM_Clean.xlsx,FG,2009-02-18,sub,RM,SRM,0:16:52,UW,0.03,13
2022-02-04,2022-02-04_RM_SRM-6,2022-02-04_RM_SRM_Clean.xlsx,LO,2011-01-01,sub,RM,SRM,0:16:12,NA,0.03,11.1
2022-02-04,2022-02-04_RM_SRM-7,2022-02-04_RM_SRM_Clean.xlsx,FI,2014-08-25,sub,RM,SRM,0:16:43,NA,0.03,7.4
2022-02-04,2022-02-04_RM_SRM-7,2022-02-04_RM_SRM_Clean.xlsx,FI,2014-08-25,sub,RM,SRM,0:16:43,UW,0.03,7.4
2022-02-04,2022-02-04_RM_SRM-8,2022-02-04_RM_SRM_Clean.xlsx,KO,2009-01-01,alpha,RM,SRM,0:16:14,NA,0.03,13.1
2022-02-24,2022-02-24_GN_SRM-10,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:16:23,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-10,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:16:23,UW,0,9.3
2022-02-24,2022-02-24_GN_SRM-2,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,0:17:34,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:17:11,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:17:11,UW,0,14.1
2022-02-24,2022-02-24_GN_SRM-3,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:17:11,UW,0,14.1
2022-02-24,2022-02-24_GN_SRM-4,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:17:45,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-4,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:17:45,UW,0,9.3
2022-02-24,2022-02-24_GN_SRM-5,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,0:15:27,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-5,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,0:15:27,UW,0,13.1
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:19:29,NA,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:19:29,UW,0,9.3
2022-02-24,2022-02-24_GN_SRM-6,2022-02-24_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:19:29,UW,0,9.3
2022-02-24,2022-02-24_GN_SRM-7,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:16:39,NA,0,14.1
2022-02-24,2022-02-24_GN_SRM-8,2022-02-24_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,0:16:42,NA,0,13.1
2022-02-24,2022-02-24_GN_SRM-9,2022-02-24_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:17:25,NA,0,14.1
2022-03-02,2022-03-03_RM_NAC-1,2022-03-03_RM_NAC_Clean.xlsx,LE,1994-05-01,sub,RM,NAC,0:16:23,NA,0,27.8
2022-03-03,2022-03-03_RM_NAC-3,2022-03-03_RM_NAC_Clean.xlsx,KO,2009-01-01,alpha,RM,NAC,0:15:04,NA,0,13.2
2022-03-03,2022-03-03_RM_NAC-4,2022-03-03_RM_NAC_Clean.xlsx,CZ,2006-01-01,sub,RM,NAC,0:15:18,NA,0,16.2
2022-03-03,2022-03-04_BC_SRM-1,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,0:16:37,NA,0,9
2022-03-04,2022-03-04_BC_NAC-1,2022-03-04_BC_NAC_Clean.xlsx,ES,2013-03-15,alpha,BC,NAC,0:07:31,NA,0,9
2022-03-04,2022-03-04_BC_NAC-2,2022-03-04_BC_NAC_Clean.xlsx,ES,2013-03-15,alpha,BC,NAC,0:15:54,NA,0,9
2022-03-04,2022-03-04_BC_SRM-2,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,0:16:45,UW,0,9
2022-03-04,2022-03-04_BC_SRM-3,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,0:18:54,NA,0,9
2022-03-04,2022-03-04_BC_SRM-3,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,0:18:54,UW,0,9
2022-03-04,2022-03-04_BC_SRM-3,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,0:18:54,UW,0,9
2022-03-04,2022-03-04_BC_SRM-4,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,0:21:13,NA,0,9
2022-03-04,2022-03-04_BC_SRM-4,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,0:21:13,UW,0,9
2022-03-04,2022-03-04_BC_SRM-4,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,0:21:13,UW,0,9
2022-03-04,2022-03-04_BC_SRM-4,2022-03-04_BC_SRM_Clean.xlsx,ES,2013-03-15,alpha,BC,SRM,0:21:13,UW,0,9
2022-03-10,2022-03-10_GN_NAC-1,2022-03-10_GN_NAC_Clean.xlsx,EC,2009-01-01,sub,GN,NAC,0:15:17,NA,0,13.2
2022-03-10,2022-03-10_GN_NAC-2,2022-03-10_GN_NAC_Clean.xlsx,TD,2012-10-23,sub,GN,NAC,0:16:39,NA,0,9.4
2022-03-10,2022-03-10_GN_NAC-3,2022-03-10_GN_NAC_Clean.xlsx,DD,2008-01-01,alpha,GN,NAC,0:16:10,NA,0,14.2
2022-03-10,2022-03-10_GN_NAC-3,2022-03-10_GN_NAC_Clean.xlsx,DD,2008-01-01,alpha,GN,NAC,0:16:10,UW,0,14.2
2022-03-10,2022-03-10_GN_NAC-3,2022-03-10_GN_NAC_Clean.xlsx,DD,2008-01-01,alpha,GN,NAC,0:16:10,UW,0,14.2
2022-03-10,2022-03-10_GN_NAC-3,2022-03-10_GN_NAC_Clean.xlsx,DD,2008-01-01,alpha,GN,NAC,0:16:10,UW,0,14.2
2022-03-10,2022-03-10_GN_NAC-3,2022-03-10_GN_NAC_Clean.xlsx,DD,2008-01-01,alpha,GN,NAC,0:16:10,UW,0,14.2
2022-03-10,2022-03-10_GN_SRM-1,2022-03-10_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,0:18:08,NA,0,13.2
2022-03-10,2022-03-10_GN_SRM-2,2022-03-10_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:19:43,UW,0,9.4
2022-03-10,2022-03-10_GN_SRM-3,2022-03-10_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:15:46,UW,0,14.2
2022-03-10,2022-03-10_GN_SRM-3,2022-03-10_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:15:46,UW,0,14.2
2022-03-10,2022-03-10_GN_SRM-4,2022-03-10_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:17:14,NA,0,9.4
2022-03-10,2022-03-10_GN_SRM-4,2022-03-10_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:17:14,UW,0,9.4
2022-03-10,2022-03-10_GN_SRM-5,2022-03-10_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,0:18:26,NA,0,13.2
2022-03-10,2022-03-10_GN_SRM-6,2022-03-10_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:18:53,NA,0,14.2
2022-03-10,2022-03-10_GN_SRM-6,2022-03-10_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:18:53,UW,0,14.2
2022-03-10,2022-03-10_GN_SRM-7,2022-03-10_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:19:03,NA,0,9.4
2022-03-10,2022-03-10_GN_SRM-7,2022-03-10_GN_SRM_Clean.xlsx,TD,2012-10-23,sub,GN,SRM,0:19:03,UW,0,9.4
2022-03-10,2022-03-10_GN_SRM-8,2022-03-10_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:19:02,NA,0,14.2
2022-03-10,2022-03-10_GN_SRM-8,2022-03-10_GN_SRM_Clean.xlsx,DD,2008-01-01,alpha,GN,SRM,0:19:02,UW,0,14.2
2022-03-10,2022-03-10_GN_SRM-9,2022-03-10_GN_SRM_Clean.xlsx,EC,2009-01-01,sub,GN,SRM,0:19:20,NA,0,13.2
2022-03-15,2022-03-15_RM_GMC-1,2022-03-15_RM_GMC_Clean.xlsx,KO,2009-01-01,alpha,RM,GMC,0:14:47,UW,0,13.2
