Comp,Filename,RT,Area
M041.P04,20220712_33,3.354,1906364
M041.P04,20230111_16,3.403,111449
M041.P04,20230111_19,3.413,68927
M041.P04,20230111_06,3.417,46714
M041.P04,20230904_42,3.346,38150
M041.P04,20220718_12,3.34,32249
M041.P04,20241007_43,6.573,22974
M041.P04,20220718_35,3.374,19696
M041.P04,20240318_33,6.513,18252
M041.P04,20240318_23,6.504,15910
M043.P03,20240318_32,6.542,2085898
M043.P03,20230111_22,3.003,1544134
M043.P03,20230626_21,2.996,218803
M043.P03,20220712_21,3.063,169219
M043.P03,20220712_11,3.079,132294
M043.P03,20230103_16,3.139,123824
M043.P03,20220711_09,3.077,106126
M043.P03,20220712_34,3.063,95512
M043.P03,20220711_07,3.08,92407
M043.P03,20230103_11,3.3,89981
M043.P03,20220718_41,3.27,87831
M043.P03,20220718_62,3.076,86563
M043.P03,20230103_63,2.984,86239
M043.P03,20220718_10,3.079,80455
M043.P03,20230904_04,3.065,80439
M043.P03,20220718_51,3.079,77493
M043.P03,20230103_46,3.403,74238
M043.P03,20230103_60,3.033,73037
M043.P03,20231212_29,6.271,72603
M043.P03,20240318_23,6.485,69675
M043.P03,20230626_22,3.15,67777
M043.P03,20230103_50,3.165,66804
M043.P03,20230103_65,3.044,64757
M043.P03,20220718_61,3.166,43314
M043.P03,20220718_12,3.076,43060
M043.P03,20220718_20,3.069,41541
M043.P03,20230103_13,3.34,39777
M043.P03,20230111_19,3.346,35919
M043.P03,20220711_09,3.3,34942
M043.P03,20230111_16,3.362,34807
M043.P03,20231212_10,6.197,32810
M043.P03,20220712_21,3.291,27972
M043.P03,20220718_04,3.427,25334
M043.P03,20240318_89,6.55,22327
M043.P03,20240318_33,6.5,20393
M043.P03,20230904_40,3.42,16885
M043.P03,20240318_75,6.638,16180
M043.P03,20240318_43,6.657,15069
M043.P03,20230904_50,3.332,12768
M043.P03,20230111_13,3.037,11135
M043.P03,20220718_10,3.297,9166
M043.P03,20231212_34,6.507,7355
M043.P08,20230111_27,3.988,552007
M043.P08,20220718_55,3.977,435227
M043.P08,20230904_42,4.019,325469
M043.P08,20220712_24,4.007,154802
M043.P08,20230904_39,4.03,137514
M043.P08,20230626_16,3.985,113822
M043.P08,20220712_21,4.026,102906
M043.P08,20220718_32,4.029,76285
M043.P08,20230904_30,4.013,58534
M043.P08,20230904_06,4.033,57104
M043.P08,20220711_09,3.997,55119
M043.P08,20220718_10,4.023,49095
M043.P08,20230103_57,4.067,44311
M043.P08,20230111_20,4.024,30940
M043.P08,20230111_13,4.083,29269
M043.P08,20231212_22,7.193,27306
M043.P08,20230904_16,3.997,20023
M043.P08,20231212_16,7.197,16908
M043.P13,20220712_11,5.093,54607
M043.P13,20230626_22,5.17,28094
M043.P13,20230626_38,5.14,19002
M043.P13,20231212_10,8.339,18950
M043.P13,20231212_20,8.289,12751
M043.P13,20240318_61,8.281,3455
M044.P03,20230904_33,3.407,568779
M044.P03,20240318_89,6.56,439771
M044.P03,20231212_29,6.57,253231
M044.P03,20230904_44,3.428,56794
M044.P03,20220718_51,3.455,55420
M044.P03,20230111_18,3.457,54903
M044.P03,20230103_33,3.417,47871
M044.P03,20230904_16,3.431,47737
M044.P03,20230103_20,3.415,43693
M044.P03,20220712_16,3.415,42967
M044.P03,20230103_68,3.437,39807
M044.P03,20230904_40,3.419,39343
M044.P03,20230103_40,3.449,38030
M044.P03,20230904_28,3.336,37726
M044.P03,20230904_50,3.422,35550
M044.P03,20230626_37,3.443,29682
M044.P03,20230904_04,3.421,26990
M044.P03,20230103_16,3.418,26987
M044.P03,20220718_05,3.437,26359
M044.P03,20230111_04,3.423,24642
M044.P03,20230111_22,3.427,24348
M044.P03,20230626_32,3.46,22905
M044.P03,20230626_38,3.429,20896
M044.P03,20230626_16,3.411,20172
M044.P03,20230103_57,3.407,18882
M044.P03,20220718_48,3.417,17647
M044.P03,20241007_16,6.682,8739
M045.P02,20240318_32,6.42,9974790
M045.P02,20240318_89,6.561,1547716
M045.P02,20241007_26,6.421,1025235
M045.P02,20230111_20,3.286,849314
M045.P02,20231212_29,6.568,843376
M045.P02,20231212_34,6.462,782243
M045.P02,20231212_22,6.525,678280
M045.P02,20220712_06,3.243,544308
M045.P02,20230103_48,3.312,537551
M045.P02,20230111_26,3.229,485711
M045.P02,20220711_06,3.249,463719
M045.P02,20230904_06,3.342,420271
M045.P02,20230103_43,3.302,404997
M045.P02,20230103_30,3.369,392291
M045.P02,20230103_19,3.274,363120
M045.P02,20230103_09,3.184,228182
M045.P02,20230626_16,3.223,192078
M045.P02,20231212_12,6.487,155179
M045.P02,20230103_40,3.364,99494
M045.P02,20240318_05,6.43,83586
M045.P02,20230103_33,3.315,83468
M045.P02,20231212_13,6.473,77580
M045.P02,20220718_04,3.313,76642
M045.P02,20241007_46,6.552,51727
M045.P02,20230904_22,3.347,48656
M045.P02,20220718_35,3.363,34932
M045.P02,20230103_50,3.203,21065
M045.P02,20241007_63,6.426,20859
