Filename,Date,Group,Male,Rank,Catch,Handler,Batch,Column,Age,Volume,SPG,Temp,Seasonality
20220718_31,2022-01-10,RM,KO,Alpha,DC,KMJ,Batch02,1_old_col,13,0.25,1.0245,31.2,0.04
20220712_09,2022-01-15,RM,CZ,Subord,DC,KMJ,Batch01,1_old_col,16,0.1,1.0317,26.7,0.03
20220718_41,2022-01-15,RM,LO,Subord,DC,MAG,Batch02,1_old_col,11,2,1.0329,32.3,0.03
20220718_05,2022-01-19,RM,FG,Subord,DC,MAG,Batch02,1_old_col,12.9,0.1,1.0285,25.2,0.03
20220712_24,2022-02-03,RM,LE,Subord,DC,SRM,Batch01,1_old_col,27.8,0.25,1.0216,28.5,0.03
20220712_06,2022-02-24,GN,EC,Subord,IC,NAC,Batch01,1_old_col,13.1,0.25,1.0245,27.9,0
20220712_05,2022-03-04,BC,ES,Alpha,DC,SRM,Batch01,1_old_col,9,0.25,1.0341,27.9,0
20220712_21,2022-03-14,RM,FI,Subord,DC,GMC,Batch01,1_old_col,7.6,0.25,1.0326,33,0
20220712_34,2022-03-15,RM,HE,Subord,DC,GMC,Batch01,1_old_col,7.9,0.25,1.0147,36,0
20220711_08,2022-04-01,RM,LE,Subord,DC,GMC,Batch00,1_old_col,27.9,0.25,1.0383,36.3,0
20220712_11,2022-04-11,RM,LO,Subord,DC,ACP,Batch01,1_old_col,11.3,0.2,1.0229,27.4,0
20220718_55,2022-04-22,GN,DD,Alpha,DC,SRM,Batch02,1_old_col,14.3,0.2,1.0114,27.6,0
20220712_35,2022-04-22,GN,TD,Subord,DC,SRM,Batch01,1_old_col,9.5,0.2,1.0126,27.9,0
20220718_51,2022-04-28,RM,CZ,Subord,IC,SRM,Batch02,1_old_col,16.3,0.1,1.065,31.3,0.62
20220712_18,2022-04-29,RM,FG,Subord,DC,GMC,Batch01,1_old_col,13.2,0.4,1.0448,30.1,0.62
20220712_15,2022-04-29,RM,KO,Alpha,IC,GMC,Batch01,1_old_col,13.3,0.1,1.0102,33.6,0.62
20220711_04,2022-05-12,RM,FI,Subord,IC,YVA,Batch00,1_old_col,7.7,0.2,1.0145,32.3,2.86
20220711_09,2022-05-13,RM,FG,Subord,IC,MAG,Batch00,1_old_col,13.2,0.2,1.065,33.4,2.86
20220718_20,2022-05-13,RM,KO,Alpha,DC,SRM,Batch02,1_old_col,13.4,0.2,1.0105,32.1,2.86
20220711_07,2022-05-13,RM,LO,Subord,IC,SRM,Batch00,1_old_col,11.4,0.2,1.0284,34.2,2.86
20220718_04,2022-05-16,BC,ES,Alpha,DC,SRM,Batch02,1_old_col,9.2,0.3,1.0291,27.3,2.86
20220712_29,2022-05-17,LV,BY,Alpha,DC,SRM,Batch01,1_old_col,19.4,0.2,1.0248,26.1,3.09
20220718_12,2022-05-18,LV,PW,Subord,DC,YVA,Batch02,1_old_col,16.4,0.2,1.0308,29.6,3.16
20220711_06,2022-05-18,LV,SB,Subord,IC,MAG,Batch00,1_old_col,7.5,0.3,1.0213,28.2,3.16
20220718_35,2022-05-19,GN,DD,Alpha,IC,JLW,Batch02,1_old_col,14.4,0.2,1.0124,30.6,3.23
20220718_48,2022-05-19,GN,EC,Subord,DC,JLW,Batch02,1_old_col,13.4,0.4,1.0283,26,3.23
20220712_33,2022-05-19,GN,TD,Subord,IC,JLW,Batch01,1_old_col,9.6,0.2,1.0303,29.3,3.23
20220711_10,2022-05-26,RM,CZ,Subord,DC,SRM,Batch00,1_old_col,16.4,0.2,1.0234,28.4,7.63
20230103_13,2022-05-26,RM,HE,Subord,DC,DSS,Batch03,1_old_col,8.1,0.2,1.0073,32.1,7.63
20220718_61,2022-05-26,RM,LE,Subord,DC,SRM,Batch02,1_old_col,28.1,0.2,1.0233,24.9,7.63
20230103_65,2022-05-30,LV,BY,Alpha,IC,YVA,Batch03,1_old_col,19.4,0.2,1.0237,27.3,9.82
20220718_50,2022-05-30,LV,HG,Subord,DC,YVA,Batch02,1_old_col,15.1,0.2,1.009,27.3,9.82
20230103_23,2022-05-31,LV,PW,Subord,IC,YVA,Batch03,1_old_col,16.4,0.1,1.0276,28.4,9.87
20230103_40,2022-06-01,LV,SB,Subord,IC,SRM,Batch03,1_old_col,7.5,0.2,1.0211,25.2,11.33
20230103_09,2022-06-07,AD,BD,Alpha,DC,SRM,Batch03,1_old_col,11.8,0.2,1.023,25.1,14.03
20220712_16,2022-06-07,AD,CG,Subord,DC,DSS,Batch01,1_old_col,11,0.2,1.0025,24.4,14.03
